GENE,CONDITION,INHERITANCE,AGE GROUP,MANIFESTATION CATEGORIES,INTERVENTION/RATIONALE,REFERENCES
MFN2,"Charcot-Marie-Tooth disease, type 2A2A; Charcot-Marie-Tooth disease, type 2A2B; Hereditary motor and sensory neuropathy, type VIA",AD/AR,N/A,Neurologic; Ophthalmologic,"Charcot-Marie-Tooth disease, type 2A2 typically (though not always) results from heterozygous mutations; Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",9409358; 11148244; 12601114; 15136675; 15064763; 16043786; 16087932; 16835246; 16437557; 17309650; 18946002; 20008656; 19889647; 21715711; 22206013; 22526351; 22546700; 22653593; 22762946; 22957060; 30649465
MFRP,"Microphthalmia, isolated 5; Nanophthalmos 2; Retinitis pigmentosa, autosomal recessive",AR,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",1258954; 15976030; 17167404; 18554571; 19526372; 20361016; 21810984; 22565643; 22605927; 23112574 
MFSD2A,"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain imaging abnormalities (Microcephaly 15, primary, autosomal recessive)",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26005865; 26005868
MFSD8,"Ceroid lipofuscinosis, neuronal, 7",AR,Pediatric,Biochemical; Neurologic; Ophthalmologic,"The condition can include severe sequelae, including seizures, and use of a patient-specific antisense oligonucleotide has been reported as benefiting clinical findings, including related to seizure control",15074367; 15965709; 17564970; 19277732; 19201763; 18850119; 22612257; 31597037
MGAT2,"Congenital disorder of glycosylation, type IIa",AR,Pediatric,Audiologic/Otolaryngologic; Biochemical; Craniofacial; Gastrointestinal; Hematologic; Musculoskeletal; Neurologic,"Awareness of coagulopathies may be beneficial in terms of medical management, especially in situations such as surgery",7944531; 8808595; 11228641; 19419693; 20684000; 22105986; 23023920
MGME1,Mitochondrial DNA depletion syndrome 11,AR,Pediatric,Biochemical; Cardiovascular; Endocrine; Gastrointestinal; Musculoskeletal; Neurologic,"In addition to other manifestations, the condition has been described as including cardiovascular sequelae (eg, dilated cardiomyopathy, arrhythymias), and awareness may allow appropriate surveillance and prompt management",23313956
MGP,Keutel syndrome,AR,N/A,Cardiovascular; Craniofacial; Dermatologic; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",6468443; 3717211; 2515061; 9674914; 9916809; 15810001
MIB1,Left ventricular noncompaction 7,AD,Pediatric,Cardiovascular,"Left ventricular noncompaction may manifest as depressed systolic function, with potential complications including arrhythmias, systemic embolism, heart failure and sudden death, and surveillance (eg, with echocardiogram and electrocardiogram) may allow early diagnosis and treatment",23314057
MICOS13,Combined oxidative phosphorylation deficiency 37,AR,N/A,Biochemical; Cardiovascular; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",27623147; 29618761; 27485409
MICU1,Myopathy with extrapyramidal signs,AR,N/A,Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24336167; 27123478; 29721912
MID1,"Opitz GBBB syndrome, type I",XL,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",9354791; 11030761; 12833403; 15121778; 15558842; 16619207; 20301502; 20671548; 22407675 
MID2,"Mental retardation, X-linked 101",XL,N/A,Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24115387
MIEF2,Combined oxidative phosphorylation deficiency 49,AR,Pediatric,Biochemical; Musculoskeletal,"The condition has been described as involving muscle weakness and pain, and medical management (eg, with riboflavin and coenzyme Q10) has been described as beneficial",29361167
MIP,"Cataract 15, multiple types",AD,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",10802646
MIPEP,Combined oxidative phosphorylation deficiency 31,AR,Pediatric,Biochemical; Cardiovascular; Craniofacial; Neurologic; Ophthalmologic,"The condition can include hypertrophic cardiomyopathy, and awareness may allow early diagnosis and interventions",27799064
MIR140,"Spondyloepiphyseal dysplasia, Nishimura type",AD,N/A,Craniofacial; Musculoskeletal; Pulmonary,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",30804514
MIR17HG,Feingold syndrome 2,AD,N/A,Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21892160
MIR184,Keratoconus with cataract,AD,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",14638698; 16735990; 21996275; 22131394
MIR204,Retinal dystrophy and iris coloboma with or without congenital cataract,AD,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26056285
MIR96,"Deafness, autosomal dominant 50",AD,Pediatric,Audiologic/Otolaryngologic,"Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",14757864; 19363479
MITF,"Waardenburg syndrome, type 2A; Tietz albinism-deafness syndrome; Coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness (COMMAD); Melanoma, cutaneous malignant, susceptibility to, 8; Renal cell carcinoma with or without malignant melanoma",AD,"Pediatric (Waardenburg syndrome, type 2A; Tietz albinism-deafness syndrome; Coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness (COMMAD)); Adult (Melanoma, cutaneous malignant, susceptibility to, 8; Renal cell carcinoma with or without malignant melanoma)",Audiologic/Otolaryngologic; Craniofacial; Dermatologic; Musculoskeletal; Ophthalmologic; Oncologic,"For Waardenburg syndrome, type 2A, Tietz albinism-deafness syndrome, and COMMAD, early recognition and treatment of hearing impairment may improve outcomes, including speech and language development; For Melanoma, cutaneous malignant, susceptibility to and Renal cell carcinoma with or without malignant melanoma, awareness may allow preventive measures, surveillance, and early diagnosis and treatment of disease",13985019; 5006208; 331943; 666627; 7951321; 7874167; 7702105; 7573125; 8589691; 9158138; 10851256; 18510545; 20024939; 22012259; 22080950; 23167872; 23414473; 23774529; 23802662; 24638154; 24767713; 27889061
MKKS,McKusick-Kaufman syndrome; Bardet-Biedl syndrome 6,AR ,N/A,Cardiovascular; Endocrine; Gastrointestinal; Genitourinary; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; Variants may modify severity of BBS and related disorders due to variants in other BBS-associated genes",14172277; 5694533; 5545396; 7262101; 7246610; 2681663; 2564737; 8209897; 10465109; 10973251; 11102925; 10802661; 11567139; 12837689; 15637713; 16104012; 20301537; 20301675;
MKRN3,Central precocious puberty,AD,N/A,Endocrine,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; Variants may modify severity of BBS and related disorders due to variants in other BBS-associated genes",23738509
MKS1,Joubert syndrome 28; Meckel syndrome 1; Bardet-Biedl syndrome 13,AR ,N/A,Cardiovascular; Craniofacial; Endocrine; Gastrointestinal; Genitourinary; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing; Variants may modify severity of BBS and related disorders due to variants in other BBS-associated genes",6486167; 16415886; 17377820; 17935508; 18327255; 19515853; 20301537; 24608809; 24886560
MLC1,Megalencephalic leukoencephalopathy with subcortical cysts 1,AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",11254442; 12939431; 18757878; 20301707; 20560255; 21145992; 21160490; 21487377; 22416245; 22552818; 24824219
MLH1,"Colorectal cancer, hereditary nonpolyposis, type 2; Mismatch repair cancer syndrome 1; Endometrial cancer; Muir-Torre syndrome",AD/AR,"Adult (Colorectal cancer, hereditary nonpolyposis, type 2; Endometrial cancer; Muir-Torre syndrome)/Pediatric (Mismatch repair cancer syndrome)",Dermatologic; Oncologic,"In HNPCC, for surveillance, colonoscopy with polyp removal is indicated starting at (whichever is earlier) age 20-25 years or 10 years prior to the earliest familial diagnosis; Prophylactic Hysterectomy with bilateral oophorectomy may be considered after childbearing is completed; For individuals with colon cancer, surgical treatment with full colectomy (and ileorectal anastomosis) is recommended; Cigarette smoking should be avoided; For other tumor types (indiviudals may be at risk for a number of cancer types), awareness of cancer risk may allow early diagnosis and treatment, which may reduce morbidity and mortality; Individuals with Mismatch repair cancer syndrome are at risk of multiple types of malignancy, and awareness may allow early detection and management",6020987; 5684233; 4063166; 7815421; 8128251; 8145827; 7661930; 8751876; 9634524; 9927033; 10072435; 10577927; 15264268; 15077197; 16042583; 15520370; 15662714; 15235030; 17440981; 18457354; 19156169; 20301390; 24434690
MLH3,"Colorectal cancer, hereditary nonpolyposis type 7; Endometrial carcinoma",AD,Adult,Oncologic,Surveillance to allow early detection and treatment of tumors (associated with colorectal cancer) may be beneficial to reduce morbidity and mortality,12702580; 16885347
MLPH,"Griscelli syndrome, type 3",AR,N/A,Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",12148598; 12897212
MLYCD,Malonyl-CoA decarboxylase deficiency,AR,Pediatric,Biochemical; Cardiovascular; Neurologic,"Dietary measures (low-fat, high-carbohydrate diet, with one report describing benefit from long-chain triglyceride restriction and medium-chain triglyceride supplementation) can normalize urinary organic acid excretion and prevent hypoglycemic episodes; During infectious/febrile illnesses, inpatient care to reduce morbidity and mortalitiy may be beneficial; Surveillance for cardiac manifestations may allow early management, which may be beneficial",6145813; 3709568; 8259873; 10417274; 9869665; 10455107; 12955715; 16275149; 20549361; 22104738; 22778304; 31395333
MMAA,"Methylmalonic acidemia, cblA type",AR,Pediatric,Biochemical; Hematologic; Neurologic; Ophthalmologic,"Long-term dietary (high-calorie diet low in propiogenic amino acid precursors with carnitine supplementation) and medical management (eg, IM hydroxocobalamin, antibiotics to decrease propionate production) is indicated; Fasting and high-protein consumption should be avoided; In the emergent setting, prompt recognition and appropriate metabolic care may be beneficial to decrease morbidity and mortality; Antioxidants for optic nerve atrophy may be beneficial; Liver/kidney transplant has been described in methylmalonic acidemia",6132336; 12438653; 20301409; 21545677; 23026888
MMAB,"Methylmalonic acidemia, cblB type",AR,Pediatric,Biochemical; Hematologic; Neurologic; Ophthalmologic,"Long-term dietary (high-calorie diet low in propiogenic amino acid precursors with carnitine supplementation) and medical management (eg, IM hydroxocobalamin, antibiotics to decrease propionate production) is indicated; Fasting and high-protein consumption should be avoided; In the emergent setting, prompt recognition and appropriate metabolic care may be beneficial to decrease morbidity and mortality; Antioxidants for optic nerve atrophy may be beneficial; Liver/kidney transplant has been described in methylmalonic acidemia",7213387; 12471062; 16410054; 20301409; 20301503; 20556797; 21416195; 24813872
MMACHC,"Methylmalonic aciduria and homocystinuria, cblC type",AR/Digenic,Pediatric,Biochemical; Cardiovascular; Dermatologic; Hematologic; Neurologic; Ophthalmologic; Renal,"While no treatment is completely effective, specific dietary (eg, high-calorie, low protein diet and avoidance of fasting, with measures taken to avoid/treat decompensation)  and other medical measures (eg, cofactor therapy) may be beneficial to treat and prevent sequelae in the acute and chronic states",5779140; 6749192; 3257264; 2368803; 9266389; 11258350; 10399092; 11320193; 12210350; 16311595; 16714133; 17431913; 17853453; 20301503; 19370762; 20631720; 21748409; 21835369; 23837176; 29302025
MMADHC,"Methylmalonic aciduria and homocystinuria, cblD type",AR,Pediatric,Biochemical; Hematologic; Neurologic; Ophthalmologic,"While no treatment is completely effective, specific dietary (eg, high-calorie, low protein diet and avoidance of fasting, with measures taken to avoid/treat decompensation)  and other medical measures (eg, cofactor therapy) may be beneficial to treat and prevent sequelae in the acute and chronic states",5524089; 2339678; 15292234; 18385497; 20301409; 20301503; 22156578
MME,"Spinocerebellar ataxia 43; Charcot-Marie-Tooth disease, axonal, type 2T",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26991897; 27583304
MMP13,"Spondyloepimetaphyseal dysplasia, Missouri type (Metaphyseal anadysplasia 1); Metaphyseal dysplasia, Spahr type",AD/AR,N/A,Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",13915518; 16167086; 19615667; 24648384; 24781753
MMP14,Winchester syndrome,AR,N/A,Biochemical; Craniofacial; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",4238825; 22922033
MMP19,Cavitary optic disc anomalies,AD,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",17368552; 17362864; 25581579
MMP2,"Multicentric osteolysis, nodulosis, and arthropathy (Torg-Winchester syndrome)",AR,N/A,Dermatologic; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",5795345; 2625626; 9843039; 10861676; 10861675; 11431697; 15691365; 16542393; 17059372; 20720557; 20865259; 22876575 
MMP20,"Amelogenesis imperfecta, hypomaturation type, IIA2",AR,N/A,Dental,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",3150442; 15744043; 21597265; 23355523  
MMP21,"Heterotaxy, visceral, 7",AR,N/A,Cardiovascular; Gastrointestinal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",25807483; 26437028; 26437029
MMP9,Metaphyseal anadysplasia 2,AR,N/A,Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",4252978; 1867263; 19615667
MMUT,Methylmalonic acidemia due to methylmalonyl-CoA mutase deficiency,AR,Pediatric,Biochemical; Hematologic; Cardiovascular; Neurologic; Ophthalmologic,"Long-term dietary (high-calorie diet low in propiogenic amino acid precursors with carnitine supplementation) and medical management (eg, IM hydroxocobalamin, antibiotics to decrease propionate production) is indicated; Fasting and high-protein consumption should be avoided; In the emergent setting, prompt recognition and appropriate metabolic care may be beneficial to decrease morbidity and mortality; Antioxidants for optic nerve atrophy may be beneficial; Liver/kidney transplant has been described in methylmalonic acidemia",6132336; 1977311; 1970180; 1968706; 1346616; 1351030; 7681251; 15643616; 12948746; 16451139; 18563634; 20301409; 22614770; 22695176
MN1,"CEBALID syndrome; Meningioma, familial",AD,Pediatric,Audiologic/Otolaryngologic; Craniofacial; Musculoskeletal; Neurologic; Oncologic; Ophthalmologic,"CEBALID syndrome may include early-onset hearing loss among other features, and early recognition and treatment of hearing impairment may improve outcomes, including speech and language development; Meningomia, familial, surveillance for neoplasms to enable early treatment may improve outcomes",2014801; 7731706; 31834374; 31839203
MNS1,"Heterotaxy, visceral, 9, autosomal, with male infertility",AR,N/A,Cardiovascular; Gastrointestinal; Genitourinary,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",30148830; 31534215
MNX1,Currarino syndrome,AD,Pediatric,Gastrointestinal; Genitourinary; Musculoskeletal; Oncologic; Renal,"While congenital malformations often allow clinical recognition, individuals can have presacral teratomas, which can undergo malignant transformation, and awareness may allow prompt detection and management",6789651; 2059799; 9843207; 10749657; 11528505; 15216552; 16906559; 17612791
MOCOS,"Xanthinuria, type II",AR,Pediatric,Biochemical; Musculoskeletal; Renal,"Most individuals are described as asymptomatic, but xanthine deposition can lead to myositis, urinary tract calculi, and acute renal failure and dietary measures (eg, purine restricted, increased fluid intake) and medical measures (eg, allopurinol) may be beneficial",11302742; 14624414; 17368066; 25967871
MOCS1,"Molybdenum cofactor deficiency, type A",AR,Pediatric,Biochemical; Neurologic; Ophthalmologic,"The disorder can have severe neurologic sequelae, and the use of substitution therapy (with IV-administered purified cyclic pyranopterin monophosphate) has been reported as showing benefit in biochemical parameters as well as clinical/neurologic manifestations",9731530; 10053004; 10327149; 16021469; 20385644; 21031595 
MOCS2,"Molybdenum cofactor deficiency, type B",AR,N/A,Biochemical; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",11746050; 16021469; 16429380; 19544009; 21031595 
MOG,Narcolepsy 7,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21907016
MOGS,"Congenital disorder of glycosylation, type IIb",AR,Pediatric,Biochemical; Craniofacial; Gastrointestinal; Genitourinary; Hematologic; Musculoskeletal; Neurologic,"At least theoretically, awareness of coagulopathies may be beneficial in terms of medical management, especially in situations such as surgery",10788335; 20301507; 24716661
MORC2,"Charcot-Marie-Tooth disease type, axonal, type 2Z; Developmental delay, impaired growth, dysmorphic facies, and axonal neuropathy",AD,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26497905; 27105897; 28771897; 32693025
MPC1,Mitochondrial pyruvate carrier deficiency,AR,N/A,Biochemical; Craniofacial;  Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",12649063; 22628558
MPDU1,"Congenital disorder of glycosylation, type If",AR,Pediatric,Biochemical; Hematologic; Musculoskeletal; Neurologic; Ophthalmologic,"At least theoretically, awareness of coagulopathies may be beneficial in terms of medical management, especially in situations such as surgery",11733556; 11733564;  20301507
MPDZ,"Hydrocephalus, nonsyndromic, autosomal recessive 2",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23240096
MPI,"Congenital disorder of glycosylation, type Ib ",AR,Pediatric,Biochemical; Gastrointestinal; Hematologic,"Treatment with oral mannose can result in clinical improvement;  Awareness of coagulopathies may be beneficial in terms of medical management, especially in situations such as surgery",9585601; 9525984; 10484808; 10980531; 11134235; 12414827; 18285818; 19065443; 19101627; 20301507; 20679665 
MPIG6B,"Thrombocytopenia, anemia, and myelofibrosis",AR,Pediatric,Hematologic; Oncologic,"Individuals have been described with myelofibrosis and early-childhood onset thrombocytopenia and anemia, and the use of RBC transfusions have been described (as well as iron and B12/folic acid)",27743390
MPL,Thrombocythemia 2; Amegakaryocytic thrombocytopenia,AD/AR,Pediatric,Hematologic; Oncologic,"For Thrombocythemia 2, manifestations may include thrombotic/hemorrhagic episodes, as well as leukemic transformation, and surveillance and prompt treatment may be beneficial; For Amegakaryocytic thrombocytopenia, individuals may have findings such as severe bleeding complications, and platelet transfusion can be beneficial; Effective SCT has been described",9029014; 10077649; 11133753; 14764528; 15269348; 16351641; 17054430
MPLKIP,"Trichothiodystrophy 4, nonphotosensitive",AR,N/A,Allergy/Immunology/Infectious; Dental; Dermatologic; Genitourinary; Neurologic; Ophthalmologic,"A number of individuals have been reported with frequent infections, and awareness and prompt and aggressive treatment of infections may be beneficial",4847854; 984047; 2333887; 15645389; 1634754; 16977596; 18603627; 21959366
MPO,Myeloperoxidase deficiency,AR,Pediatric,Allergy/Immunology/Infectious,"Many individuals (including with complete myeloperoxidase deficiency) do not show obvious clinical sequelae, but increased candiasis and incidence of severe infections has been reported in some individuals, and awareness may allow prompt recognition and treatment, which may reduce morbidity and mortality",5796360; 4983030; 4109818; 6260268; 6267975; 6280744; 6321554; 2462938; 7904599; 15507752; 15108282; 17017121; 18453132; 17614858; 17650507; 23228855
MPV17,Mitochondrial DNA depletion syndrome 6 (hepatocerebral type),AR,Pediatric,Biochemical; Gastrointestinal; Musculoskeletal; Neurologic; Oncologic,"Glycemic control (eg, with cornstarch) has been shown to slow the progression of hepatic disease; Liver transplanation has been described, though the efficacy is unclear; Awareness of the possible risk of hepatocellular carcinoma may be beneficial",16909392; 16582910; 18695062; 19520594; 19012992; 20074988; 21511859; 22508010; 22593919; 26437932; 30298599
MPZ,"Charcot-Marie-Tooth disease, dominant intermediate 3; Charcot-Marie-Tooth disease, axonal, type 2J; Charcot-Marie-Tooth disease, axonal, type 2I; Neuropathy, congenital hypomyelinating 1; Roussy-Levy syndrome; Dejerine-Sottas disease; Charcot-Marie-Tooth disease, demyelinating, type 1B; Hypomyelinating neuropathy, congenital, 2",AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",7693129; 8310815; 8664899; 8816708; 9595994; 9537424; 10319895; 10329755; 10071056; 10406984; 10214757; 10553995; 10965800; 11080237; 10764043; 11835375; 14638973; 15159512; 15184631; 15326256; 15642860; 16488608; 16775239; 17663472; 17825553; 21326314; 21280073; 22222859; 22622165; 22633464; 22691094; 22734905
MPZL2,"Deafness, autosomal recessive 111",AR,Pediatric,Audiologic/Otolaryngologic,"Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",29961571; 29982980
MR1,Paroxysmal nonkinesigenic dyskinesia 1,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8659518; 9490305; 15496428; 15262732; 15824259; 16216955; 17515540; 19124534; 22967746 
MRAP,Glucocorticoid deficiency 2,AR,Pediatric,Endocrine,Cortisol treatment can be effective to pevent manifestations such as hypoglycemia or severe sequelae of infectious episodes in infancy/childhood,15654338; 16868047; 20427498; 21951701 
MRAP2,"Obesity, susceptibility to, 18",AD,N/A,Endocrine,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23869016
MRAS,Noonan syndrome 11,AD,Pediatric,Cardiovascular; Craniofacial; Musculoskeletal; Neurologic,"Individuals have been described with cardiac disease, inclduing cardiomyopathy as well as structural cardiac anomalies, and awareness may allow early diagnosis and management (surgical management has been described)",28289718; 31173466
MRE11,"Breast cancer, susceptibility to",AD,Adult,Dermatologic; Neurologic; Oncologic; Ophthalmologic,"Awareness of the risk of malignancy may allow early surveillance, preventive measures, and early diagnosis and treatment of disease",8445618; 8684395; 10612394; 11196167; 11371508; 15269180; 15574463; 17932350; 19383352; 19584272; 19732584; 20087742; 21227757; 21799032; 22006311; 22863007; 24332946; 24549055; 24894818
MRM2,Mitochondrial DAN depletion syndrome 17,AR,N/A,Biochemical; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",28973171
MRPL12,Combined oxidative phosphorylation deficiency 45,AR,N/A,Biochemical; Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23603806
MRPL3,Combined oxidative phosphorylation deficiency 9,AR,N/A,Biochemical; Cardiovascular; Gastrointestinal; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21786366
MRPL44,Combined oxidative phosphorylation deficiency 16,AR,Pediatric,Biochemical; Cardiovascular; Gastrointestinal; Musculoskeletal,"Individuals have been reported as teenagers with hypertrophic cardiomyopathy (as well as with infantile-onset hyptertrophic cardiomyopathy), and surveillance for cardiomyopathy (eg, with echocardiography/electrocardiography) may allow early detection and  medical treatment of disease manifestations",23315540
MRPS14,Combined oxidative phosphorylation deficiency 38,AR,Pediatric,Biochemical; Cardiovascular; Craniofacial; Neurologic,"The condition has been described as including features such as hypertrophic cardiomyopathy and arrhythmia, and awareness may allow prompt management of these features",30358850
MRPS16,Combined oxidative phosphorylation deficiency 2,AR,N/A,Biochemical; Gastrointestinal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",15505824
MRPS2,Combined oxidative phosphorylation deficiency 36,AR,N/A,Audiologic/Otolaryngologic; Biochemical; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",29576219
MRPS22,Combined oxidative phosphorylation deficiency 5; Ovarian dysgenesis 7,AR,N/A,Biochemical; Cardiovascular; Craniofacial; Endocrine; Obstetric; Renal; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",17873122; 21189481; 29566152
MRPS23,Combined oxidative phosphorylation deficiency 46,AR,N/A,Biochemical; Gastrointestinal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26741492
MRPS25,Combined oxidative phosphorylation deficiency 50,AR,Pediatric,Biochemical; Endocrine; Neurologic,"In addition to other features, an individual has been described as involving adrenal insufficiency requiring hydrocortisone replacement, and awareness may allow early diagnosis and medical management",31039582
MRPS28,Combined oxidative phosphorylation deficiency 47,AR,N/A,Audiologic/Otolaryngologic; Biochemical; Genitourinary; Craniofacial; Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",30566640
MRPS34,Combined oxidative phosphorylation deficiency 32,AR,N/A,Biochemical; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",28777931
MRPS7,Combined oxidative phosphorylation deficiency 34,AR,Pediatric,Audiologic/Otolaryngologic; Biochemical; Endocrine; Neurologic; Renal,"Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development; Individuals have been described with endocrine abnormalities including adrenal failure, and awareness may allow early medical management",25556185
MRTFA,Immunodeficiency 66,AR,Pediatric,Allergy/Immunology/Infectious,"An individual has been described with severe, early-onset, and recurrent infections, as well as reaction related to BCG vaccine, and and awareness and prompt and aggressive treatment of infections and related sequelae may be beneficial",26224645
MS4A1,"Immunodeficiency, common variable, 5",AR,Pediatric,Allergy/Immunology/Infectious,"Individuals may be susceptible to recurrent infections (eg, respiratory infections have been reported), and antiinfectious prophylaxis (including with IVIG therapy) and early and aggressive treatment of infections may be beneficial",20038800
